image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.915829,bus,van,False
drive_022,2,3,0.83173,car,car,True
drive_022,3,1,0.885741,car,car,True
drive_022,4,4,0.800373,car,car,True
drive_022,5,5,0.864751,truck,bus,False
drive_033,1,12,0.940474,bus,van,False
drive_033,2,2,0.856951,truck,bus,False
drive_033,3,11,0.864983,car,car,True
drive_033,4,3,0.884614,car,car,True
drive_033,5,7,0.877015,car,car,True
drive_033,6,1,0.988957,bus,van,False
drive_033,7,8,0.855331,car,car,True
drive_033,8,10,0.784971,car,car,True
drive_033,9,6,0.788119,car,car,True
drive_033,12,5,0.870628,car,car,True
drive_033,13,4,0.782613,car,car,True
drive_033,14,9,0.863105,car,car,True
drive_038,1,5,0.900609,truck,bus,False
drive_038,2,3,0.952562,car,car,True
drive_038,3,2,0.934931,car,car,True
drive_038,4,1,0.956298,car,car,True
drive_038,5,4,0.922603,car,car,True
drive_038,6,17,0.941506,car,car,True
drive_038,7,16,0.905768,car,car,True
drive_038,8,9,0.878646,truck,bus,False
drive_038,9,15,0.892377,van,truck,False
drive_038,10,14,0.804797,car,car,True
drive_038,11,13,0.895976,car,car,True
drive_038,12,8,0.854421,car,car,True
drive_038,13,10,0.906363,car,car,True
drive_038,16,7,0.89461,car,car,True
drive_038,17,11,0.886134,car,car,True
drive_038,18,6,0.851162,van,car,False
drive_038,19,12,0.77349,car,car,True
drive_008,2,6,0.887238,car,car,True
drive_008,3,4,0.89661,car,car,True
drive_008,4,16,0.941489,car,car,True
drive_008,6,11,0.937363,car,car,True
drive_008,7,2,0.929964,car,car,True
drive_008,9,3,0.939471,van,truck,False
drive_008,10,12,0.907595,van,truck,False
drive_008,11,14,0.877444,car,car,True
drive_008,12,5,0.812522,van,truck,False
drive_008,13,13,0.618423,car,car,True
drive_008,14,7,0.796511,car,car,True
drive_008,17,15,0.320231,car,car,True
drive_008,28,9,0.963227,bus,van,False
drive_008,31,1,0.811722,truck,bus,False
